player_id,bet_frequency,stake_variance,chasing_ratio,session_duration_avg,loss_streak_response,deposit_frequency,time_of_day_skew,withdrawal_ratio,self_excl_attempts,total_bet_amd,total_deposit,total_withdrawal,risk_level,risk_label
P00001,0.506,325.2,1.125,15.654,1.0,0.167,0.0,0.0,0,7900,6000,0.0,recreational,0
P00002,3.85,874.9,1.346,16.666,1.644,0.167,0.0,0.0,0,143400,6000,0.0,recreational,0
P00003,0.35,1040.6,3.111,13.683,1.0,0.167,0.0,0.0,0,16600,25000,0.0,recreational,0
P00004,0.894,781.4,1.291,44.269,1.0,0.333,0.435,0.955,0,31800,22000,21000.0,regular,0
P00005,7.078,995.9,1.501,15.16,1.821,1.167,0.049,0.85,0,324225,147000,125000.0,recreational,0
P00006,39.822,2245.8,1.745,36.16,1.452,2.5,0.126,1.495,0,2732704,374000,559000.0,regular,0
P00007,0.778,1798.7,1.256,14.485,1.0,0.167,0.0,1.882,0,56900,17000,32000.0,recreational,0
P00008,1.322,1341.2,1.181,14.812,1.0,0.333,0.118,0.615,0,103200,109000,67000.0,recreational,0
P00009,7.194,198.5,1.454,15.71,0.889,0.667,0.022,0.762,0,67122,21000,16000.0,recreational,0
P00010,51.489,2765.4,1.548,35.075,1.249,2.5,0.127,2.072,0,4501266,360000,746000.0,regular,0
P00011,174.261,6714.1,2.122,68.664,1.772,1.333,0.247,0.0,0,20082518,161000,0.0,at_risk,1
P00012,4.628,830.6,1.203,15.297,1.0,0.667,0.059,1.06,0,201400,67000,71000.0,recreational,0
P00013,345.839,15084.4,2.346,126.003,2.005,5.333,0.415,0.0,2,45770353,500000,0.0,problem,1
P00014,3.072,844.6,1.325,14.52,1.304,0.333,0.025,0.75,0,139200,28000,21000.0,recreational,0
P00015,3.617,182.3,1.338,18.0,1.5,0.333,0.108,2.0,0,29000,5000,10000.0,recreational,0
P00016,19.911,3330.0,1.51,33.707,1.524,0.5,0.062,3.708,0,2066998,72000,267000.0,regular,0
P00017,0.389,164.7,1.108,18.868,1.0,0.167,0.2,0.0,0,3600,3000,0.0,recreational,0
P00018,54.6,832.0,1.764,66.759,1.793,1.167,0.266,0.0,0,818605,25000,0.0,at_risk,1
