player_id,age,gender,region,monthly_income_amd,preferred_game,account_created,risk_level,risk_label
P00001,35,M,Yerevan,181068,crash_aviator,2024-02-17,recreational,0
P00002,37,M,Yerevan,339578,sports_other,2022-01-13,recreational,0
P00003,43,M,Yerevan,226896,sports_football,2024-06-26,recreational,0
P00004,38,F,Yerevan,311469,sports_other,2024-07-02,regular,0
P00005,45,M,Yerevan,138182,sports_basketball,2023-09-30,recreational,0
P00006,49,M,Yerevan,291462,table_games,2023-10-22,regular,0
P00007,38,F,Yerevan,238551,casino_live,2022-03-28,recreational,0
P00008,30,M,Vanadzor,227020,casino_live,2024-03-24,recreational,0
P00009,41,F,Yerevan,171288,casino_slots,2023-09-15,recreational,0
P00010,51,M,Yerevan,319008,casino_live,2024-01-28,regular,0
P00011,31,F,Yerevan,139260,casino_live,2024-03-11,at_risk,1
P00012,39,M,Gyumri,124685,sports_football,2023-12-25,recreational,0
P00013,49,M,Gyumri,793980,sports_football,2024-03-04,problem,1
P00014,34,M,Gyumri,274232,sports_football,2022-10-29,recreational,0
P00015,39,M,Yerevan,188624,casino_slots,2022-08-14,recreational,0
P00016,34,F,Yerevan,680052,poker,2024-05-28,regular,0
P00017,30,M,Yerevan,232053,casino_slots,2023-06-23,recreational,0
P00018,30,M,Yerevan,297301,casino_slots,2024-02-25,at_risk,1
P00019,40,M,Gyumri,97815,keno_lottery,2022-05-24,recreational,0
P00020,39,F,Yerevan,663832,sports_football,2024-08-17,regular,0
P00021,41,M,Yerevan,264573,sports_football,2023-09-24,recreational,0
P00022,31,F,Vanadzor,442355,keno_lottery,2023-12-15,recreational,0
P00023,44,M,Yerevan,531860,poker,2023-11-11,recreational,0
P00024,28,F,Vanadzor,142177,casino_live,2022-03-06,at_risk,1
P00025,42,M,Yerevan,94707,sports_football,2023-05-07,recreational,0
P00026,39,M,Yerevan,43007,keno_lottery,2023-10-25,recreational,0
P00027,27,M,Yerevan,284900,casino_live,2022-07-26,recreational,0
P00028,44,M,Yerevan,249934,casino_slots,2022-08-28,recreational,0
P00029,36,F,Yerevan,189019,sports_football,2024-07-01,recreational,0
P00030,55,F,Yerevan,134170,casino_slots,2023-07-30,regular,0
P00031,34,M,Yerevan,172163,crash_aviator,2023-09-21,recreational,0
P00032,52,F,Yerevan,197415,crash_aviator,2023-08-12,recreational,0
P00033,31,M,Vanadzor,266219,casino_slots,2023-11-27,recreational,0
P00034,25,M,Yerevan,206325,casino_slots,2022-07-09,recreational,0
P00035,49,M,Yerevan,250851,casino_live,2022-01-07,recreational,0
P00036,24,M,Yerevan,169168,casino_slots,2024-11-04,recreational,0
P00037,28,M,Armavir_region,324959,sports_basketball,2022-06-04,recreational,0
P00038,47,M,Vanadzor,409046,sports_football,2022-05-26,regular,0
P00039,35,M,Other,99434,sports_football,2023-11-09,recreational,0
P00040,38,M,Armavir_region,644401,casino_live,2023-07-05,regular,0
P00041,47,F,Yerevan,332202,sports_football,2024-08-16,recreational,0
P00042,45,M,Yerevan,484814,sports_football,2023-11-25,at_risk,1
P00043,33,M,Yerevan,540719,poker,2024-03-24,problem,1
P00044,24,M,Ararat_region,412511,casino_live,2022-04-12,recreational,0
P00045,30,M,Yerevan,79543,sports_football,2024-08-10,recreational,0
P00046,31,M,Yerevan,334812,sports_football,2023-12-07,recreational,0
P00047,48,M,Armavir_region,210412,casino_live,2023-07-09,regular,0
P00048,52,M,Kapan,311234,sports_basketball,2022-01-26,recreational,0
P00049,26,M,Lori_region,191166,sports_other,2022-07-16,recreational,0
P00050,35,F,Yerevan,96688,sports_other,2022-03-11,recreational,0
P00051,53,F,Yerevan,140428,sports_football,2024-01-07,recreational,0
P00052,34,M,Yerevan,516888,casino_live,2024-02-21,regular,0
P00053,43,F,Yerevan,162042,sports_football,2023-04-04,recreational,0
P00054,42,F,Yerevan,192847,casino_slots,2023-12-06,regular,0
P00055,42,M,Yerevan,192075,sports_football,2024-11-16,regular,0
P00056,34,M,Vanadzor,248162,sports_football,2022-07-22,recreational,0
P00057,28,M,Yerevan,431935,sports_football,2024-08-23,recreational,0
P00058,38,M,Yerevan,78204,crash_aviator,2024-05-08,at_risk,1
P00059,44,M,Kapan,1502973,sports_football,2022-03-04,regular,0
P00060,24,F,Yerevan,316410,sports_football,2022-10-15,regular,0
P00061,57,M,Yerevan,708009,sports_football,2023-01-18,problem,1
P00062,22,M,Yerevan,144724,casino_live,2024-07-18,recreational,0
P00063,23,M,Yerevan,279410,sports_other,2024-03-10,regular,0
P00064,28,M,Gyumri,314284,keno_lottery,2024-04-28,regular,0
P00065,32,M,Yerevan,106528,casino_slots,2023-01-19,recreational,0
P00066,37,F,Yerevan,120315,casino_slots,2023-06-18,recreational,0
P00067,36,M,Other,325460,casino_slots,2023-11-15,recreational,0
P00068,37,M,Yerevan,82829,sports_football,2022-09-30,recreational,0
P00069,31,M,Kapan,224410,keno_lottery,2022-08-27,recreational,0
